2021-12-01 10:08:27.633  INFO 18520 --- [http-nio-8000-exec-4] org.dozer.DozerBeanMapper                : Initializing a new instance of dozer bean mapper.
2021-12-01 10:08:27.711  INFO 18520 --- [http-nio-8000-exec-4] org.dozer.DozerBeanMapper                : Using the following xml files to load custom mappings for the bean mapper instance: [mapping\mapper.xml]
2021-12-01 10:08:27.711  INFO 18520 --- [http-nio-8000-exec-4] org.dozer.DozerBeanMapper                : Trying to find xml mapping file: mapping\mapper.xml
2021-12-01 10:08:27.714  INFO 18520 --- [http-nio-8000-exec-4] org.dozer.DozerBeanMapper                : Using URL [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml] to load custom xml mappings
2021-12-01 10:08:27.917  INFO 18520 --- [http-nio-8000-exec-4] org.dozer.DozerBeanMapper                : Successfully loaded custom xml mappings from URL: [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml]
2021-12-01 10:08:28.172  INFO 18520 --- [http-nio-8000-exec-4] org.dozer.DozerBeanMapper                : Initializing a new instance of dozer bean mapper.
2021-12-01 10:08:28.175  INFO 18520 --- [http-nio-8000-exec-4] org.dozer.DozerBeanMapper                : Using the following xml files to load custom mappings for the bean mapper instance: [mapping\mapper.xml]
2021-12-01 10:08:28.175  INFO 18520 --- [http-nio-8000-exec-4] org.dozer.DozerBeanMapper                : Trying to find xml mapping file: mapping\mapper.xml
2021-12-01 10:08:28.177  INFO 18520 --- [http-nio-8000-exec-4] org.dozer.DozerBeanMapper                : Using URL [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml] to load custom xml mappings
2021-12-01 10:08:28.200  INFO 18520 --- [http-nio-8000-exec-4] org.dozer.DozerBeanMapper                : Successfully loaded custom xml mappings from URL: [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml]
2021-12-01 10:09:23.690  INFO 18520 --- [http-nio-8000-exec-5] o.a.r.mngt.api.CampaignController        : All Campaign inside controller
2021-12-01 10:09:23.707  INFO 18520 --- [http-nio-8000-exec-5] org.dozer.DozerBeanMapper                : Initializing a new instance of dozer bean mapper.
2021-12-01 10:09:23.709  INFO 18520 --- [http-nio-8000-exec-5] org.dozer.DozerBeanMapper                : Using the following xml files to load custom mappings for the bean mapper instance: [mapping\mapper.xml]
2021-12-01 10:09:23.710  INFO 18520 --- [http-nio-8000-exec-5] org.dozer.DozerBeanMapper                : Trying to find xml mapping file: mapping\mapper.xml
2021-12-01 10:09:23.711  INFO 18520 --- [http-nio-8000-exec-5] org.dozer.DozerBeanMapper                : Using URL [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml] to load custom xml mappings
2021-12-01 10:09:23.742  INFO 18520 --- [http-nio-8000-exec-5] org.dozer.DozerBeanMapper                : Successfully loaded custom xml mappings from URL: [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml]
2021-12-01 10:09:23.795  INFO 18520 --- [http-nio-8000-exec-5] org.dozer.DozerBeanMapper                : Initializing a new instance of dozer bean mapper.
2021-12-01 10:09:23.799  INFO 18520 --- [http-nio-8000-exec-5] org.dozer.DozerBeanMapper                : Using the following xml files to load custom mappings for the bean mapper instance: [mapping\mapper.xml]
2021-12-01 10:09:23.800  INFO 18520 --- [http-nio-8000-exec-5] org.dozer.DozerBeanMapper                : Trying to find xml mapping file: mapping\mapper.xml
2021-12-01 10:09:23.801  INFO 18520 --- [http-nio-8000-exec-5] org.dozer.DozerBeanMapper                : Using URL [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml] to load custom xml mappings
2021-12-01 10:09:23.827  INFO 18520 --- [http-nio-8000-exec-5] org.dozer.DozerBeanMapper                : Successfully loaded custom xml mappings from URL: [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml]
2021-12-01 10:10:47.606  INFO 18520 --- [http-nio-8000-exec-6] o.a.r.mngt.api.CampaignController        : All Campaign inside controller
2021-12-01 10:10:47.622  INFO 18520 --- [http-nio-8000-exec-6] org.dozer.DozerBeanMapper                : Initializing a new instance of dozer bean mapper.
2021-12-01 10:10:47.625  INFO 18520 --- [http-nio-8000-exec-6] org.dozer.DozerBeanMapper                : Using the following xml files to load custom mappings for the bean mapper instance: [mapping\mapper.xml]
2021-12-01 10:10:47.625  INFO 18520 --- [http-nio-8000-exec-6] org.dozer.DozerBeanMapper                : Trying to find xml mapping file: mapping\mapper.xml
2021-12-01 10:10:47.627  INFO 18520 --- [http-nio-8000-exec-6] org.dozer.DozerBeanMapper                : Using URL [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml] to load custom xml mappings
2021-12-01 10:10:47.656  INFO 18520 --- [http-nio-8000-exec-6] org.dozer.DozerBeanMapper                : Successfully loaded custom xml mappings from URL: [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml]
2021-12-01 10:10:47.705  INFO 18520 --- [http-nio-8000-exec-6] org.dozer.DozerBeanMapper                : Initializing a new instance of dozer bean mapper.
2021-12-01 10:10:47.709  INFO 18520 --- [http-nio-8000-exec-6] org.dozer.DozerBeanMapper                : Using the following xml files to load custom mappings for the bean mapper instance: [mapping\mapper.xml]
2021-12-01 10:10:47.709  INFO 18520 --- [http-nio-8000-exec-6] org.dozer.DozerBeanMapper                : Trying to find xml mapping file: mapping\mapper.xml
2021-12-01 10:10:47.710  INFO 18520 --- [http-nio-8000-exec-6] org.dozer.DozerBeanMapper                : Using URL [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml] to load custom xml mappings
2021-12-01 10:10:47.726  INFO 18520 --- [http-nio-8000-exec-6] org.dozer.DozerBeanMapper                : Successfully loaded custom xml mappings from URL: [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml]
2021-12-01 10:11:59.443  INFO 18520 --- [http-nio-8000-exec-7] o.a.r.mngt.api.CampaignController        : All Campaign inside controller
2021-12-01 10:11:59.457  INFO 18520 --- [http-nio-8000-exec-7] org.dozer.DozerBeanMapper                : Initializing a new instance of dozer bean mapper.
2021-12-01 10:11:59.460  INFO 18520 --- [http-nio-8000-exec-7] org.dozer.DozerBeanMapper                : Using the following xml files to load custom mappings for the bean mapper instance: [mapping\mapper.xml]
2021-12-01 10:11:59.461  INFO 18520 --- [http-nio-8000-exec-7] org.dozer.DozerBeanMapper                : Trying to find xml mapping file: mapping\mapper.xml
2021-12-01 10:11:59.462  INFO 18520 --- [http-nio-8000-exec-7] org.dozer.DozerBeanMapper                : Using URL [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml] to load custom xml mappings
2021-12-01 10:11:59.477  INFO 18520 --- [http-nio-8000-exec-7] org.dozer.DozerBeanMapper                : Successfully loaded custom xml mappings from URL: [file:/C:/Users/TharunyaREDDY/training/ARM/acheron-resource-management/arm-resource-mngt-service/target/classes/mapping%5cmapper.xml]
2021-12-01 10:11:59.514  INFO 18520 --- [http-nio-8000-exec-7] org.dozer.DozerBeanMapper                : Initializing a new instance of dozer bean mapper.
2021-12-01 10:11:59.517  INFO 18520 --- [http-nio-8000-exec-7] org.dozer.DozerBeanMapper                : Using the following xml files to load custom mappings for the bean mapper instance: [mapping\mapper.xml]
2021-12-01 10:11:59.518  INFO 18520 --- [http-nio-8000-exec-7] org.dozer.DozerBeanMapper                : Trying to find xml mapping file: mapping\mapper.xml
